"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"References","M. Dick",Newcastle University,"The Infographic: A History of Data Graphics in News and Communications","","2020","","","201","223","","","9780262358118","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9085780.pdf&bkn=9072203&pdfType=chapter","","","","","","","","","4 May 2020","","","MIT Press","MIT Press eBook Chapters"
"A Long Short-Term Memory Enabled Framework for DDoS Detection","X. Liang; T. Znati",University of Pittsburgh; University of Pittsburgh,"2019 IEEE Global Communications Conference (GLOBECOM)","27 Feb 2020","2019","","","1","6","The proliferation of attack-for-hire services, coupled with the advent of Internet of Things (IoT)-enabled botnets, is driving the increase of the frequency and intensity of Distributed Denial of Services (DDoS) attacks, at an alarming rate. Inspired by the success of machine learning in a variety of fields and domain applications, numerous intelligent schemes have been proposed to effectively defend against and mitigate the impact of these attacks. Traditional machine learning methods, however, are limited by the use of an expensive and error-prone feature engineering process. Feature engineering is fundamental to the application of machine learning, and is both difficult and expensive. Furthermore, the ability of these schemes to successfully detect previously unknown attacks is limited. To address these limitations, a novel DDoS detection scheme, based on Long Short-Term Memory (LSTM), is proposed. The basic tenet of the LSTM scheme is its ability to distinguish between attack and legitimate flows by only examining a relatively small number of a network flow packets. The performance evaluation results show that the LSTM-based scheme successfully learns the complex flow-level feature representations embedded in raw input traffic. Furthermore, the results show that the scheme performs better than other approaches that use sophisticated flow-level statistical features. Lastly, the results show the ability of the proposed scheme to accurately capture the dynamic behaviors of unknown network traffic exceeds that of traditional machine learning methods.","2576-6813","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9013450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013450","","Computer crime;Machine learning;Feature extraction;Botnet;Training;Recurrent neural networks;Intrusion detection","","","","2","25","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Detecting Saturation Attacks in SDN via Machine Learning","S. Khamaiseh; E. Serra; Z. Li; D. Xu","Boise State University,Department of Computer Science,Boise,ID,USA,83725; Boise State University,Department of Computer Science,Boise,ID,USA,83725; Jiangsu University,Dept. of Cybersecurity,Jiangsu,China,212013; University of Missouri – Kansas City,Dept. of Computer Science Electrical Engineering,Kansas City,MO,USA,64110","2019 4th International Conference on Computing, Communications and Security (ICCCS)","31 Oct 2019","2019","","","1","8","Software Defined Networking (SDN) is a new network paradigm that facilitates network management by separating the control plane from the data plane. Studies have shown that an SDN may experience a high packet loss rate and a long delay in forwarding messages when the OpenFlow channel is overwhelmed by a saturation attack. The existing approaches have focused on the detection of saturation attacks caused by TCP-SYN flooding through periodic analysis of network traffic. However, there are two issues. First, previous approaches are incapable of detecting other types, especially unknown types, of saturation attacks. Second, they rely on predetermined time-window of network traffic and thus are unable to determine what time window of traffic data would be appropriate for effective attack detection. To tackle these problems, this paper first investigates the impact of different time-windows of OpenFlow traffic on the detection performance of three classification algorithms: the Support Vector Machine (SVM), the Naïve Bayes (NB) classifier, and the K-Nearest Neighbors (K-NN) classifier. We have built and analyzed a total of 150 models on OpenFlow traffic datasets generated from both physical and simulated SDN environments. The experiment results show that the chosen time-interval of OpenFlow traffic heavily influences the detection performance - larger time-windows may result in decreased detection performance. In addition, we were able to achieve reasonable accuracy on detection of unknown attacks by applying proper time-windows of OpenFlow traffic.","","978-1-7281-0875-9","10.1109/CCCS.2019.8888049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888049","Software-defined networking;OpenFlow;saturation attack;anomaly detection;machine learning","Floods;Computer crime;Support vector machines;Machine learning;Training;Telecommunication traffic;Control systems","computer network management;computer network security;learning (artificial intelligence);pattern classification;software defined networking;support vector machines;telecommunication traffic;transport protocols","data plane;high packet loss rate;saturation attack;network traffic;predetermined time-window;effective attack detection;OpenFlow traffic datasets;physical SDN environments;simulated SDN environments;detection performance;Software Defined Networking;network paradigm;network management;support vector machine;SVM;Naïve Bayes classifier;K-Nearest Neighbors classifier;machine learning","","2","27","","31 Oct 2019","","","IEEE","IEEE Conferences"
"Next Generation Firewall for Improving Security in Company and IoT Network","B. Soewito; C. E. Andhika","Bina Nusantara University,Computer Science Department,Jakarta,Indonesia; Bina Nusantara University,Computer Science Department,Jakarta,aindonesia","2019 International Seminar on Intelligent Technology and Its Applications (ISITIA)","6 Jan 2020","2019","","","205","209","The goal of this research is to analyze of effectiveness the Next Generation Firewall that implemented to secure IoT in smart house and company network. The method used in this research is the method of comparison with a test of DDoS attacks, phishing and SQL Injection on both network, smart house network and company network. From the results of experiment, it can be concluded that the Next Generation Firewall has significantly better performance for protecting smart house and company network, it can increase security of data communication networks against threats from the Internet.","","978-1-7281-3749-0","10.1109/ISITIA.2019.8937145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8937145","next generation firewall;SQL injection;DDOS attack;IoT;smart home","","data communication;firewalls;home computing;Internet of Things;SQL","company network;smart house network;Next Generation Firewall;data communication networks;IoT;DDoS attacks;SQL injection;Internet","","","12","","6 Jan 2020","","","IEEE","IEEE Conferences"
"Lucid: A Practical, Lightweight Deep Learning Solution for DDoS Attack Detection","R. Doriguzzi-Corin; S. Millar; S. Scott-Hayward; J. Martínez-del-Rincón; D. Siracusa","ICT, Fondazione Bruno Kessler, Trento, Italy; CSIT, Queen’s University Belfast, Belfast, U.K.; CSIT, Queen’s University Belfast, Belfast, U.K.; CSIT, Queen’s University Belfast, Belfast, U.K.; ICT, Fondazione Bruno Kessler, Trento, Italy","IEEE Transactions on Network and Service Management","10 Jun 2020","2020","17","2","876","889","Distributed Denial of Service (DDoS) attacks are one of the most harmful threats in today's Internet, disrupting the availability of essential services. The challenge of DDoS detection is the combination of attack approaches coupled with the volume of live traffic to be analysed. In this paper, we present a practical, lightweight deep learning DDoS detection system called Lucid, which exploits the properties of Convolutional Neural Networks (CNNs) to classify traffic flows as either malicious or benign. We make four main contributions; (1) an innovative application of a CNN to detect DDoS traffic with low processing overhead, (2) a dataset-agnostic preprocessing mechanism to produce traffic observations for online attack detection, (3) an activation analysis to explain Lucid's DDoS classification, and (4) an empirical validation of the solution on a resource-constrained hardware platform. Using the latest datasets, Lucid matches existing state-of-the-art detection accuracy whilst presenting a 40x reduction in processing time, as compared to the state-of-the-art. With our evaluation results, we prove that the proposed approach is suitable for effective DDoS detection in resource-constrained operational environments.","1932-4537","","10.1109/TNSM.2020.2971776","European Union???s Horizon 2020 Research and Innovation Programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8984222","Distributed denial of service;deep learning;convolutional neural networks;edge computing","Computer crime;Denial-of-service attack;IP networks;Entropy;Deep learning;Feature extraction","computer network security;convolutional neural nets;learning (artificial intelligence);pattern classification;telecommunication traffic","DDoS attack detection;distributed denial of service attacks;lightweight deep learning DDoS detection system;convolutional neural networks;DDoS traffic;dataset-agnostic preprocessing mechanism;traffic observations;DDoS detection;Lucid DDoS classification","","","77","IEEE","5 Feb 2020","","","IEEE","IEEE Journals"
"Evaluation of DDOS Attack Degree Based on GRA-TOPSIS Model","H. Yang; R. Jiang; C. Zhao; A. Li",National University of Defense Technology; National University of Defense Technology; National University of Defense Technology; National University of Defense Technology,"2019 International Conference on Smart Grid and Electrical Automation (ICSGEA)","14 Nov 2019","2019","","","547","552","In this paper, we consider the deficiencies in the traditional use of the indicator system to evaluation the degree of Distributed Denial of Service (DDoS) attack, and propose an evaluation model GRA-TOPSIS. Based on the idea of integrated learning, this method combines Gray Relational Analysis (GRA) with the Technique for Order Preference by Similarity to Ideal Solution (TOPSIS). Combined with the establishing of indicator system and Combination Weighing Method, a set of evaluation methods for DDOS is constructed. The experimental results show that the GRA-TOPSIS evaluation model can be well integrated into the DDOS degree evaluation process and obtain good data results.","","978-1-7281-4463-4","10.1109/ICSGEA.2019.00129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901311","DDoS;Attack Degree Evaluation;Indicator System;Combination Weighting;GRA-TOPSIS","Smart grids;Automation","combinatorial mathematics;computer network security;fuzzy set theory;grey systems;learning (artificial intelligence);TOPSIS","integrated learning;Gray Relational Analysis;Technique for Order Preference by Similarity to Ideal Solution;indicator system;Combination Weighing Method;GRA-TOPSIS evaluation model;DDOS degree evaluation process;DDOS attack degree;Distributed Denial of Service attack","","1","21","","14 Nov 2019","","","IEEE","IEEE Conferences"
"Comparative Analysis of K-Nearest Neighbor and Decision Tree in Detecting Distributed Denial of Service","I. Ramadhan; P. Sukarno; M. A. Nugroho","Telkom University,School of Computing,Bandung,Indonesia; Telkom University,School of Computing,Bandung,Indonesia; Telkom University,School of Computing,Bandung,Indonesia","2020 8th International Conference on Information and Communication Technology (ICoICT)","13 Aug 2020","2020","","","1","4","Distributed Denial of Service (DDoS) attacks are attacks made by several attackers by flooding the victim's device with a packet. The ease of making DDoS attacks has led to an increase of these attacks in network traffic. In contrast, the method of non-machine learning Intrusion Detection System (IDS) is now seen very inaccurate. There is a need then for an IDS method with machine learning (ML) that is more accurate in detecting attacks. Several previous studies have known that the K-Nearest Neighbor (KNN) and Decision Tree (DT) algorithms are two algorithms with high accuracy in detecting DDoS attacks. However, research comparing the two algorithms is not found so far. In this study, a comparative analysis was carried out between the two algorithms. The result of this study showed that DT had a higher accuracy with an accuracy value of 99.91% than KNN which only had an accuracy value of 98.94% in detecting DDoS attacks.","","978-1-7281-6142-6","10.1109/ICoICT49345.2020.9166380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9166380","DDoS;KNN;Decision Tree","Computer crime;Decision trees;Classification algorithms;Feature extraction;Data models;Machine learning algorithms;Machine learning","computer network security;decision trees;learning (artificial intelligence)","distributed denial of service attacks;nonmachine learning Intrusion Detection System;IDS method;machine learning;K-Nearest Neighbor;Decision Tree algorithms;DDoS attacks;comparative analysis","","","10","","13 Aug 2020","","","IEEE","IEEE Conferences"
"DDoS Attacks Detection by Using Machine Learning Methods on Online Systems","D. Başkaya; R. Samet","Ankara University,Computer Engineering Department,Ankara,Turkey; Ankara University,Computer Engineering Department,Ankara,Turkey","2020 5th International Conference on Computer Science and Engineering (UBMK)","12 Oct 2020","2020","","","52","57","DDoS attacks impose serious threats to many large or small organizations; therefore DDoS attacks have to be detected as soon as possible. In this study, a methodology to detect DDoS attacks is proposed and implemented on online systems. In the scope of the proposed methodology, Multi Layer Perceptron (MLP), Random Forest (RF), K-Nearest Neighbor (KNN), C-Support Vector Machine (SVC) machine learning methods are used with scaling and feature reduction preprocessing methods and then effects of preprocesses on detection accuracy rates of HTTP (Hypertext Transfer Protocol) flood, TCP SYN (Transport Control Protocol Synchronize) flood, UDP (User Datagram Protocol) flood and ICMP (Internet Control Message Protocol) flood DDoS attacks are analyzed. Obtained results showed that DDoS attacks can be detected with high accuracy of 99.2%.","","978-1-7281-7565-2","10.1109/UBMK50275.2020.9219476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9219476","Cyber Security;Machine Learning;Cyber Attacks;Distributed Denial of Service Attacks;DDoS","Global Positioning System;Handheld computers;Denial-of-service attack;Hafnium compounds;Computer crime;Intrusion detection;Topology","","","","","19","","12 Oct 2020","","","IEEE","IEEE Conferences"
"Learning Based Adaptive Network Immune Mechanism to Defense Eavesdropping Attacks","M. Liu; D. Gao; G. Liu; J. He; L. Jin; C. Zhou; F. Yang","School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; School of Telecommunications Engineering, Xidian University, Xian, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China","IEEE Access","24 Dec 2019","2019","7","","182814","182826","Encryption mechanisms improve the security of transmitting data. Nevertheless, attackers might silently eavesdrop packets to crack sensitive information or launch cyberattacks to damage the network performance of victims. In this paper, we propose a learning based adaptive network immune mechanism (LANIM) to prevent the eavesdropping attacks. Specifically, LANIM is equipped with three defense lines and one constraint. The first defense line focuses on making decisions about abnormal network conditions by the minimum risk machine learning algorithms. The second defense line is the encryption strategy which focuses on the intent and application. The programmable devices implement novel policies such as multipath transmission and packet encapsulation. LANIM inherits the existing countermeasures based on computational complexity, which is the third defense line. Besides, the policy dynamically updates with random seeds is the constraint of the cyberattack. The attackers have to conquer these three immune lines before the new policy update otherwise the offensive is shattered. We implement LANIM with the P4 language and the Smart Identifier Network (SINET) framework, evaluate the ability to resist the hazards of eavesdropping attacks and explore the trade-offs between security and performance.","2169-3536","","10.1109/ACCESS.2019.2956805","Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918023","Machine learning;security and performance trade-offs;adaptive network immune mechanism;eavesdropping attacks;SINET","Eavesdropping;Encryption;Protocols;Adaptive systems;Network architecture","computational complexity;computer crime;computer network security;cryptography;data privacy;Internet;learning (artificial intelligence)","computational complexity;minimum risk machine learning algorithms;P4 language;SINET;cyber attack;learning based adaptive network immune mechanism;packet encapsulation;multipath transmission;defense line;encryption mechanisms;defense eavesdropping attacks;Smart Identifier Network framework;LANIM","","","32","CCBY","29 Nov 2019","","","IEEE","IEEE Journals"
"Detecting Saturation Attacks Based on Self-Similarity of OpenFlow Traffic","Z. Li; W. Xing; S. Khamaiseh; D. Xu","Department of Cybersecurity, Jiangsu University, Zhenjiang, China; Department of Computer Science, University of California at Davis, Davis, CA, USA; Department of Computer Science, Midwestern State University, Wichita Falls, TX, USA; Department of Computer Science and Electrical Engineering, University of Missouri–Kansas City, Kansas City, MO, USA","IEEE Transactions on Network and Service Management","11 Mar 2020","2020","17","1","607","621","As a new networking paradigm, Software-Defined Networking (SDN) separates data and control planes to facilitate programmable functions and improve the efficiency of packet delivery. Recent studies have shown that there exist various security threats in SDN. For example, a saturation attack may disturb the normal delivery of packets and even make the SDN system out of service by flooding the data plane, the control plane, or both. The existing research has focused on saturation attacks caused by SYN flooding. This paper presents an anomaly detection method, called SA-Detector, for dealing with a family of saturation attacks through IP spoofing, ICMP flooding, UDP flooding, and other types of TCP flooding, in addition to SYN flooding. SA-Detector builds upon the study of self-similarity characteristics of OpenFlow traffic between the control and data planes. Our work has shown that the normal and abnormal traffic flows through the OpenFlow communication channel have different statistical properties. Specifically, normal OpenFlow traffic has a low self-similarity degree whereas the occurrences of saturation attacks typically imply a higher degree of self-similarity. Therefore, SA-Detector exploits statistical results and self-similarity degrees of OpenFlow traffic, measured by Hurst exponents, for anomaly detection. We have evaluated our approach in both physical and simulation SDN environments with various time intervals, network topologies and applications, Internet protocols, and traffic generation tools. For the physical SDN environment, the average accuracy of detection is 97.68% and the average precision is 94.67%. For the simulation environment, the average accuracy is 96.54% and the average precision is 92.06%. In addition, we have compared SA-Detector with the existing saturation attack detection methods in terms of the aforementioned performance metrics and controller's CPU utilization. The experiment results indicate that SA-Detector is effective for the detection of saturation attacks in SDN.","1932-4537","","10.1109/TNSM.2019.2959268","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932535","Software-defined networking;security;saturation attack;anomaly detection;self-similar characteristic of OpenFlow traffic","Control systems;Anomaly detection;Protocols;Monitoring;Intrusion detection;Network topology","computer network security;software defined networking;telecommunication traffic;transport protocols","normal OpenFlow traffic;SA-Detector;SDN environments;control plane;data plane;SYN flooding;ICMP flooding;UDP flooding;TCP flooding;abnormal traffic;saturation attack detection methods;Hurst exponents;self-similarity degrees;traffic generation tools","","2","31","IEEE","13 Dec 2019","","","IEEE","IEEE Journals"
"Using Machine Learning for Protecting the Security and Privacy of Internet of Things (IoT) Systems","R. Buyya; S. N. Srirama","Monash University, Melbourne, Australia; NA","Fog and Edge Computing: Principles and Paradigms","","2019","","","223","257","This chapter focuses on the type of data that is transmitted and the security and privacy implications of this. As Internet of Things (IoT) usage grows, the amount of data uploaded to the cloud by IoT systems far exceeds that done by users. A distributed denial of service (DDoS) attack is one that uses multiple network resources as the source of the attack. Depending on the nature of the learning, machine‐learning algorithms can be categorized as: supervised learning, unsupervised learning, and reinforcement learning. The chapter summarizes the machine‐learning algorithms that could be used for various use cases for different domains. There are multiple issues with a cloud‐only architecture where data from IoT devices make it to the cloud to be processed and analyzed. Fog computing solves this by selectively moving compute, storage, and decision‐making closer to the network edge where data are being generated.","","9781119525011","10.1002/9781119525080.ch10","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8654158.pdf&bkn=8654031&pdfType=chapter","","Security;Privacy;Internet of Things;Sensors;Monitoring;Cloud computing","","","","","","","28 Feb 2019","","","Wiley","Wiley Telecom eBook Chapters"
"Cyber Security at a Glance","M. S. Asish; R. Aishwarya","Sathyabama Institute of Science and Technology,Department of Computer Science and Engineering,Chennai,India; Sathyabama Institute of Science and Technology,Department of Computer Science and Engineering,Chennai,India","2019 Fifth International Conference on Science Technology Engineering and Mathematics (ICONSTEM)","5 Dec 2019","2019","1","","240","245","The privacy of people on internet is getting reduced day by day. Data records of many prestigious organizations are getting corrupted due to computer malwares. Computer viruses are becoming more advanced. Hackers are able penetrate into a network and able to manipulate data. In this paper, describes the types of malwares like Trojans, boot sector virus, polymorphic virus, etc., and some of the hacking techniques which include DOS attack, DDoS attack, brute forcing, man in the middle attack, social engineering, information gathering tools, spoofing, sniffing. Counter measures for cyber attacks include VPN, proxy, tor (browser), firewall, antivirus etc., to understand the need of cyber security.","","978-1-7281-1599-3","10.1109/ICONSTEM.2019.8918889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918889","Computer malwares;Trojan;Worm;Brute forcing;DDoS and DOS attacks;Man in the middle attack;Sniffing;Spoofing;Social engineering;BeEF;Antivirus;VPN;Firewall;Tor browser;Proxy","Computer viruses;Computer crime;Denial-of-service attack;Computer hacking;Distributed denial-of-service attack;Trojan horses;Malware;Firewalls (computing)","computer crime;computer viruses;Internet","cyber attacks;cyber security;data records;computer malwares;computer viruses;Trojans;boot sector virus;polymorphic virus;hacking techniques;DDoS attack","","1","10","","5 Dec 2019","","","IEEE","IEEE Conferences"
"Data-Driven Intrusion Detection for Intelligent Internet of Vehicles: A Deep Convolutional Neural Network-based Method","L. Nie; Z. Ning; X. Wang; X. Hu; Y. Li; J. Cheng","School of Electronics and Information, Northwestern Polytechnical University, 26487 Xi'an, Shaanxi China 710072 (e-mail: nielaisen@nwpu.edu.cn); School of software, Dalian university of Technology, Dalian, Liaoning China (e-mail: zhaolongning@dlut.edu.cn); the Department of Computing, The Hong Kong Polytechnic University, 26680 Kowloon, Hong Kong China (e-mail: xiaojie.wang@polyu.edu.hk); Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, Guangdong China (e-mail: xp.hu@siat.ac.cn); Northwestern Polytechnical University, 26487 Xi'an, Shaanxi China (e-mail: ykli@nwpu.edu.cn); Laboratory for Semiconductor Equipment, Shenzhen Institute of Advanced Technology, Shenzhen, Guang Dong China 518067 (e-mail: jun.cheng@siat.ac.cn)","IEEE Transactions on Network Science and Engineering","","2020","PP","99","1","1","As an industrial application of Internet of Things (IoT), Internet of Vehicles (IoV) is one of the most crucial techniques for Intelligent Transportation System (ITS), which is a basic element of smart cities. The primary issue for the deployment of ITS based on IoV is the security for both users and infrastructures. The Intrusion Detection System (IDS) is important for IoV users to keep them away from various attacks via the malware and ensure the security of users and infrastructures. In this paper, we design a data-driven IDS by analyzing the link load behaviors of the Road Side Unit (RSU) in the IoV against various attacks leading to the irregular fluctuations of traffic flows. A deep learning architecture based on the Convolutional Neural Network (CNN) is designed to extract the features of link loads, and detect the intrusion aiming at RSUs. The proposed architecture is composed of a traditional CNN and a fundamental error term in view of the convergence of the backpropagation algorithm. Meanwhile, a theoretical analysis of the convergence is provided by the probabilistic representation for the proposed CNN-based deep architecture. We finally evaluate the accuracy of our method by way of implementing it over the testbed.","2327-4697","","10.1109/TNSE.2020.2990984","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079682","Internet of vehicles;intrusion detection;datadriven;convolutional neural network;smart cities","Intrusion detection;Deep learning;Computer architecture;Feature extraction;Training;Convolutional neural networks;Convergence","","","","","","","27 Apr 2020","","","IEEE","IEEE Early Access Articles"
"Software Defined Networking (SDN) based Secure Integrated Framework against Distributed Denial of Service (DDoS) Attack in Cloud Environment","B. B. Gupta; C. Chaturvedi","National Institute of Technology,Kurukshetra,India; National Institute of Technology,Kurukshetra,India","2019 International Conference on Communication and Electronics Systems (ICCES)","20 Feb 2020","2019","","","1310","1315","Cloud computing is nowadays developed as a scalable and cost-effective technique. It facilitates many features in the computing environment like resource pooling, multi-tenancy, virtualization etc. In order to avoid resource maintenance, computing has been done on the service provider's infrastructure. Data security is the main concern in cloud computing because it is stored in data centers provided by service providers. DDoS attacks are rapidly growing in the cloud environment and have become a serious threat to cloud consumers. SDN is used to identify and prevent DDoS attacks in the cloud and it simplifies network complexity. In this paper, we have proposed a method that detects and mitigates DDoS attacks in cloud computing using the features of SDN with high accuracy and low computational cost. The proposed system is able to block the illegitimate users and allow only legitimate users to access the cloud services. The results are calculated by simulation experiments.","","978-1-7281-1261-9","10.1109/ICCES45898.2019.9002596","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9002596","Cloud computing;SDN- based cloud;Software-defined networking;DDoS attack;OpenFlow","Cloud computing;Computer crime;Control systems;Computer architecture;Conferences;Virtualization","cloud computing;computer network security;software defined networking","software defined networking;SDN;secure integrated framework;cloud environment;cloud computing;resource pooling;data security;DDoS attacks;low computational cost;cloud services;distributed denial of service attack;DDoS attack","","1","15","","20 Feb 2020","","","IEEE","IEEE Conferences"
"Cyberwarfare: An Introduction to Information-Age Conflict","I. Porche",NA,"Cyberwarfare: An Introduction to Information-Age Conflict","","2019","","","","","Conflict in cyberspace is becoming more prevalent in all public and private sectors and is of concern on many levels. As a result, knowledge of the topic is becoming essential across most disciplines. This book reviews and explains the technologies that underlie offensive and defensive cyber operations, which are practiced by a range of cyber actors including state actors, criminal enterprises, activists, and individuals. It explains the processes and technologies that enable the full spectrum of cyber operations. Readers will learn how to use basic tools for cyber security and pen-testing, and also be able to quantitatively assess cyber risk to systems and environments and discern and categorize malicious activity. The book provides key concepts of information age conflict technical basics/fundamentals needed to understand more specific remedies and activities associated with all aspects of cyber operations. It explains techniques associated with offensive cyber operations, with careful distinctions made between cyber ISR, cyber exploitation, and cyber attack. It explores defensive cyber operations and includes case studies that provide practical information, making this book useful for both novice and advanced information warfare practitioners.","","9781630815783","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9098747.pdf&bkn=9098746&pdfType=book","","","","","","","","","16 Jun 2020","","","Artech","Artech Books"
