"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Effective Mechanism to Mitigate Real-Time DDoS Attack","R. Abubakar; A. Aldegheishem; M. Faran Majeed; A. Mehmood; H. Maryam; N. Ali Alrajeh; C. Maple; M. Jawad","Department of Computer Science, University of Sahiwal, Sahiwal, Pakistan; Urban Planning Department, Traffic Safety Technologies Chair, College of Architecture and Planning, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, Shaheed Benazir Bhutto University Sheringal, Sheringal, Pakistan; WMG, University of Warwick, Coventry, U.K.; Department of Computer Science, COMSATS University, Islamabad, Pakistan; Biomedical Technology Department, College of Applied Medical Sciences, King Saud University, Riyadh, Saudi Arabia; WMG, University of Warwick, Coventry, U.K.; Institute of Computing, Kohat University of Science and Technology, Kohat, Pakistan","IEEE Access","16 Jul 2020","2020","8","","126215","126227","Computer networks are subject to an unprecedented number and variety of attack, the majority of which are distributed denial of service (DDoS). The nature and mechanisms employed in these DDoS attacks continually change, creating a significant challenge for detection and management. To address this evolving nature of attacks, approaches are required that can effectively detect and mitigate emerging attacks. In this paper, we provide a mechanism that not only detects the presence of a DDoS attacks but also identifies the route of attack and commences a process of mitigation at the initial stage of identification. The proposed research involves an optimized SVM classification algorithm integrated with SNORT IPS to provide prevention mechanisms for the entire network when subject to DDoS attack. The proposed IPS method allows traffic identified as legitimate to pass through the network, whereas suspect traffic is flagged and has to go through an identification system. We present the algorithm with experimental results that show better performance than simple Snort IPS, Probabilistic Neural Network (PNN), Back Propagation (BP), Chi-square, and PSO-SVM in terms of accuracy, exposure and specificity. These results show that the average accuracy rate of our method is 97 percent.","2169-3536","","10.1109/ACCESS.2020.2995820","EP/N510129/1 (The Alan Turing Institute); EP/S035362/1 (PETRAS National Centre of Excellence for IoT Systems Cybersecurity); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097187","DDoS;network attacks;IP networks;security;dataset","Computer crime;IP networks;Support vector machines;Real-time systems;Probabilistic logic;Internet","computer network security;IP networks;pattern classification;support vector machines;telecommunication traffic","prevention mechanisms;real-time DDoS attack mitigation;computer networks;DDoS attack detection;Distributed Denial of Service attack;optimized SVM classification;SNORT IPS;identification system;network traffic","","","41","CCBY","20 May 2020","","","IEEE","IEEE Journals"
"Cloud: A Platform to Launch Stealth Attacks","M. Chatterjee; P. Datta; F. Abri; A. Siami Namin; K. S. Jones",Texas Tech University; Texas Tech University; Texas Tech University; Texas Tech University; Texas Tech University,"2020 IEEE 44th Annual Computers, Software, and Applications Conference (COMPSAC)","22 Sep 2020","2020","","","1558","1563","Cloud computing offers users scalable platforms and low resource cost. At the same time, the off-site location of the resources of this service model makes it more vulnerable to certain types of adversarial actions. Cloud computing has not only gained major user base, but also, it has the features that attackers can leverage to remain anonymous and stealth. With convenient access to data and technology, cloud has turned into an attack platform among other utilization. This paper reports our study to show that cyber attackers heavily abuse the public cloud platforms to setup their attack environments and launch stealth attacks. The paper first reviews types of attacks launched through cloud environment. It then reports case studies through which the processes of launching cyber attacks using clouds are demonstrated. We simulated various attacks using a virtualized environment, similar to cloud platforms, to identify the possible countermeasures from a defender's perspective, and thus to provide implications for the cloud service providers.","0730-3157","978-1-7281-7303-0","10.1109/COMPSAC48688.2020.00-33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9202432","Cloud Abuse, Cloud Forensics, Attacker Mental Model, IaaS Cloud, Stealth Attack.","Cloud computing;Force;Cognitive science;Computational modeling;Cyberattack","cloud computing;computer network security","launch stealth attacks;cloud computing;users scalable platforms;low resource cost;off-site location;service model;cyber attackers;public cloud platforms;cloud environment;cyber attacks;cloud service providers;virtualized environment;attack environments","","","18","","22 Sep 2020","","","IEEE","IEEE Conferences"
"An agent based architecture using ontology for intrusion detection system","M. Bist; A. P. Singh Panwar; V. Kumar","SGRRITS, Dehradun; SGRRITS, Dehradun; UPPCL Ghaziabad","2016 2nd International Conference on Next Generation Computing Technologies (NGCT)","16 Mar 2017","2016","","","579","587","Intrusion Detection Systems is one of the most useful tools which are used nowadays to identify the attacks happening on the network. But the high false positive and false negative rates are major limitations in Intrusion detection System. To overcome these limitations new techniques should be introduced. In our research we used Ontology in Intrusion Detection System. As Ontology describes the semantic relations between entities, we used this technique in our system to describe the attacks by their behavior. Our proposed Intrusion Detection System contains multiple agents like Sniffer agent, Analysis Agent, communication agent and manager agent. They work collectively to detect the intrusion in a much efficient way. Analysis agent uses ontology to identify the attack. Protege is software which creates ontology. Our system semantically analyses various fields of the packet and infer to a solution about attack. To identify complex attacks occurs in distributed environment that are not identified by the existing systems we are using complex attack ontology. So overall Ontology based Intrusion Detection Systems are much advanced as compared to other IDS as these are reliable, scalable, interoperable and helpful for finding new attacks.","","978-1-5090-3257-0","10.1109/NGCT.2016.7877481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877481","Intrusion Detection System;Agents;DoS Attack;Ontology;Protege","Ontologies;Intrusion detection;Computer crime;Correlation;Next generation networking;Computers","multi-agent systems;ontologies (artificial intelligence);security of data","agent based architecture;ontology;intrusion detection system;sniffer agent;analysis agent;communication agent;manager agent;IDS","","1","18","","16 Mar 2017","","","IEEE","IEEE Conferences"
"DoS Detection is Easier Now","I. Ozcelik; Y. Fu; R. R. Brooks","Dept. of Electr. & Comput. Eng., Clemson Univ., Clemson, SC, USA; Dept. of Electr. & Comput. Eng., Clemson Univ., Clemson, SC, USA; Dept. of Electr. & Comput. Eng., Clemson Univ., Clemson, SC, USA","2013 Second GENI Research and Educational Experiment Workshop","19 Sep 2013","2013","","","50","55","In this study, we test anomaly based Denial of Service (DoS) detection approaches on networks with different utilization profiles. In the experiments, we use operational background traffic and performed Distributed DoS attackswithout disturbing the operational network. Experiment results indicate that the detection approach's detection performance is inversely proportional to network utilization and optimal detection parameters depend on network utilization.","","978-0-7695-5003-9","10.1109/GREE.2013.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6601415","DoS;DDoS;Network Security;Performance Analysis;GENI;Openflow","Bandwidth;Computer crime;Computers;Educational institutions;Noise;Equations","computer network security","anomaly-based DoS detection approach;anomaly-based denial-of-service detection approach;utilization profiles;operational background traffic;distributed DoS attacks;network utilization;optimal detection parameter","","5","19","","19 Sep 2013","","","IEEE","IEEE Conferences"
"References","M. Dick",Newcastle University,"The Infographic: A History of Data Graphics in News and Communications","","2020","","","201","223","","","9780262358118","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9085780.pdf&bkn=9072203&pdfType=chapter","","","","","","","","","4 May 2020","","","MIT Press","MIT Press eBook Chapters"
"The impact analysis and mitigation of DDoS attack on local government electronic procurement service (LPSE)","S. Akbar; Endroyono; A. D. Wibawa","Department of Electrical Engineering, Institute of Technology Sepuluh Nopember, Surabaya, Indonesia; Department of Electrical Engineering, Institute of Technology Sepuluh Nopember, Surabaya, Indonesia; Department of Multimedia and Network Engineering, Institute of Technology Sepuluh Nopember, Surabaya, Indonesia","2016 International Seminar on Intelligent Technology and Its Applications (ISITIA)","23 Jan 2017","2016","","","405","410","The Internet nowadays has become important to current society; it has changed the way of communication and business models, The Electronic Procurement Services to government agencies which is called Layanan Pengadaan Secara Elektronik (LPSE) has become a very important part for central and local government agencies. LPSE for an agency can be termed as one of the most important assets in the process of regional development. As one of the important assets, LPSE must be protected to ensure continuity of services as well as to minimize the risk of service interruption. With the increase of sophisticated information systems and technology, the threat will also become more sophisticated. DDoS attacks are one of the most threat to the government procurement service. In this paper, we evaluated the impact of DDoS attacks on the existing network infrastructure of government procurement service and also evaluates the existing network defense mechanisms such firewall router and web server. We also compared the implementation of Intrusion Detection system, firewall server based and honeypot in the network to mitigate DDoS Attacks. During UDP Flood the results showed that on the existing network infrastructure, CPU usage of integrated firewall reaching 100 % and at 500 requests to the LPSE web server, there were only 30 requests that could be processed. Comparing to new network topology using Firewall Server Based, showed only 15,79 % of CPU usage of Firewall. Furthermore, LPSE web server response times took only 1,10 ms at 500 requests.","","978-1-5090-1709-6","10.1109/ISITIA.2016.7828694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828694","LPSE;DDoS;Government Procurement Service;Firewall;IDS;Honeypot","Decision support systems;Seminars","file servers;firewalls;government data processing;information systems;Internet;local government;procurement","impact analysis;impact mitigation;DDoS attack;local government electronic procurement service;Internet;business models;communication models;Layanan Pengadaan Secara Elektronik;local government agencies;central government agencies;regional development process;information systems;information technology;firewall router;network defense;intrusion detection system;firewall server;UDP Flood;LPSE Web server response times","","1","7","","23 Jan 2017","","","IEEE","IEEE Conferences"
"Abstract cards","",,"2009 1st International Conference on Wireless Communication, Vehicular Technology, Information Theory and Aerospace & Electronic Systems Technology","24 Jul 2009","2009","","","cxv","cclxxxii","Presents abstracts of presentations from the conference proceedings.","","978-1-4244-4066-5","10.1109/WIRELESSVITAE.2009.5172398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5172398","","","","","","","","","24 Jul 2009","","","IEEE","IEEE Conferences"
"A Long Short-Term Memory Enabled Framework for DDoS Detection","X. Liang; T. Znati",University of Pittsburgh; University of Pittsburgh,"2019 IEEE Global Communications Conference (GLOBECOM)","27 Feb 2020","2019","","","1","6","The proliferation of attack-for-hire services, coupled with the advent of Internet of Things (IoT)-enabled botnets, is driving the increase of the frequency and intensity of Distributed Denial of Services (DDoS) attacks, at an alarming rate. Inspired by the success of machine learning in a variety of fields and domain applications, numerous intelligent schemes have been proposed to effectively defend against and mitigate the impact of these attacks. Traditional machine learning methods, however, are limited by the use of an expensive and error-prone feature engineering process. Feature engineering is fundamental to the application of machine learning, and is both difficult and expensive. Furthermore, the ability of these schemes to successfully detect previously unknown attacks is limited. To address these limitations, a novel DDoS detection scheme, based on Long Short-Term Memory (LSTM), is proposed. The basic tenet of the LSTM scheme is its ability to distinguish between attack and legitimate flows by only examining a relatively small number of a network flow packets. The performance evaluation results show that the LSTM-based scheme successfully learns the complex flow-level feature representations embedded in raw input traffic. Furthermore, the results show that the scheme performs better than other approaches that use sophisticated flow-level statistical features. Lastly, the results show the ability of the proposed scheme to accurately capture the dynamic behaviors of unknown network traffic exceeds that of traditional machine learning methods.","2576-6813","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9013450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013450","","Computer crime;Machine learning;Feature extraction;Botnet;Training;Recurrent neural networks;Intrusion detection","","","","2","25","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Detecting Saturation Attacks in SDN via Machine Learning","S. Khamaiseh; E. Serra; Z. Li; D. Xu","Boise State University,Department of Computer Science,Boise,ID,USA,83725; Boise State University,Department of Computer Science,Boise,ID,USA,83725; Jiangsu University,Dept. of Cybersecurity,Jiangsu,China,212013; University of Missouri – Kansas City,Dept. of Computer Science Electrical Engineering,Kansas City,MO,USA,64110","2019 4th International Conference on Computing, Communications and Security (ICCCS)","31 Oct 2019","2019","","","1","8","Software Defined Networking (SDN) is a new network paradigm that facilitates network management by separating the control plane from the data plane. Studies have shown that an SDN may experience a high packet loss rate and a long delay in forwarding messages when the OpenFlow channel is overwhelmed by a saturation attack. The existing approaches have focused on the detection of saturation attacks caused by TCP-SYN flooding through periodic analysis of network traffic. However, there are two issues. First, previous approaches are incapable of detecting other types, especially unknown types, of saturation attacks. Second, they rely on predetermined time-window of network traffic and thus are unable to determine what time window of traffic data would be appropriate for effective attack detection. To tackle these problems, this paper first investigates the impact of different time-windows of OpenFlow traffic on the detection performance of three classification algorithms: the Support Vector Machine (SVM), the Naïve Bayes (NB) classifier, and the K-Nearest Neighbors (K-NN) classifier. We have built and analyzed a total of 150 models on OpenFlow traffic datasets generated from both physical and simulated SDN environments. The experiment results show that the chosen time-interval of OpenFlow traffic heavily influences the detection performance - larger time-windows may result in decreased detection performance. In addition, we were able to achieve reasonable accuracy on detection of unknown attacks by applying proper time-windows of OpenFlow traffic.","","978-1-7281-0875-9","10.1109/CCCS.2019.8888049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888049","Software-defined networking;OpenFlow;saturation attack;anomaly detection;machine learning","Floods;Computer crime;Support vector machines;Machine learning;Training;Telecommunication traffic;Control systems","computer network management;computer network security;learning (artificial intelligence);pattern classification;software defined networking;support vector machines;telecommunication traffic;transport protocols","data plane;high packet loss rate;saturation attack;network traffic;predetermined time-window;effective attack detection;OpenFlow traffic datasets;physical SDN environments;simulated SDN environments;detection performance;Software Defined Networking;network paradigm;network management;support vector machine;SVM;Naïve Bayes classifier;K-Nearest Neighbors classifier;machine learning","","2","27","","31 Oct 2019","","","IEEE","IEEE Conferences"
"Next Generation Firewall for Improving Security in Company and IoT Network","B. Soewito; C. E. Andhika","Bina Nusantara University,Computer Science Department,Jakarta,Indonesia; Bina Nusantara University,Computer Science Department,Jakarta,aindonesia","2019 International Seminar on Intelligent Technology and Its Applications (ISITIA)","6 Jan 2020","2019","","","205","209","The goal of this research is to analyze of effectiveness the Next Generation Firewall that implemented to secure IoT in smart house and company network. The method used in this research is the method of comparison with a test of DDoS attacks, phishing and SQL Injection on both network, smart house network and company network. From the results of experiment, it can be concluded that the Next Generation Firewall has significantly better performance for protecting smart house and company network, it can increase security of data communication networks against threats from the Internet.","","978-1-7281-3749-0","10.1109/ISITIA.2019.8937145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8937145","next generation firewall;SQL injection;DDOS attack;IoT;smart home","","data communication;firewalls;home computing;Internet of Things;SQL","company network;smart house network;Next Generation Firewall;data communication networks;IoT;DDoS attacks;SQL injection;Internet","","","12","","6 Jan 2020","","","IEEE","IEEE Conferences"
"A Survey of Defense Mechanisms Against Distributed Denial of Service (DDoS) Flooding Attacks","S. T. Zargar; J. Joshi; D. Tipper","Telecommunications and Networking Program, School of Information Sciences, University of Pittsburgh, Pittsburgh, PA 15260 USA; School of Information Sciences, University of Pittsburgh, Pittsburgh, PA 15260 USA; Telecommunications and Networking Program, School of Information Sciences, University of Pittsburgh, Pittsburgh, PA 15260 USA","IEEE Communications Surveys & Tutorials","12 Nov 2013","2013","15","4","2046","2069","Distributed Denial of Service (DDoS) flooding attacks are one of the biggest concerns for security professionals. DDoS flooding attacks are typically explicit attempts to disrupt legitimate users' access to services. Attackers usually gain access to a large number of computers by exploiting their vulnerabilities to set up attack armies (i.e., Botnets). Once an attack army has been set up, an attacker can invoke a coordinated, large-scale attack against one or more targets. Developing a comprehensive defense mechanism against identified and anticipated DDoS flooding attacks is a desired goal of the intrusion detection and prevention research community. However, the development of such a mechanism requires a comprehensive understanding of the problem and the techniques that have been used thus far in preventing, detecting, and responding to various DDoS flooding attacks. In this paper, we explore the scope of the DDoS flooding attack problem and attempts to combat it. We categorize the DDoS flooding attacks and classify existing countermeasures based on where and when they prevent, detect, and respond to the DDoS flooding attacks. Moreover, we highlight the need for a comprehensive distributed and collaborative defense approach. Our primary intention for this work is to stimulate the research community into developing creative, effective, efficient, and comprehensive prevention, detection, and response mechanisms that address the DDoS flooding problem before, during and after an actual attack.","1553-877X","","10.1109/SURV.2013.031413.00127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6489876","Distributed Denial of Service (DDoS) flooding attack;intrusion detection systems;intrusion prevention systems;distributed DDoS defense;collaborative DDoS defense","Intrusion detection;Denial of service;Network service","computer network security","comprehensive distributed defense approach;collaborative defense approach;DDoS flooding attack problem;prevention research community;intrusion detection;comprehensive defense mechanism;coordinated large-scale attack;distributed denial of service flooding attacks","","508","149","","28 Mar 2013","","","IEEE","IEEE Journals"
"Lucid: A Practical, Lightweight Deep Learning Solution for DDoS Attack Detection","R. Doriguzzi-Corin; S. Millar; S. Scott-Hayward; J. Martínez-del-Rincón; D. Siracusa","ICT, Fondazione Bruno Kessler, Trento, Italy; CSIT, Queen’s University Belfast, Belfast, U.K.; CSIT, Queen’s University Belfast, Belfast, U.K.; CSIT, Queen’s University Belfast, Belfast, U.K.; ICT, Fondazione Bruno Kessler, Trento, Italy","IEEE Transactions on Network and Service Management","10 Jun 2020","2020","17","2","876","889","Distributed Denial of Service (DDoS) attacks are one of the most harmful threats in today's Internet, disrupting the availability of essential services. The challenge of DDoS detection is the combination of attack approaches coupled with the volume of live traffic to be analysed. In this paper, we present a practical, lightweight deep learning DDoS detection system called Lucid, which exploits the properties of Convolutional Neural Networks (CNNs) to classify traffic flows as either malicious or benign. We make four main contributions; (1) an innovative application of a CNN to detect DDoS traffic with low processing overhead, (2) a dataset-agnostic preprocessing mechanism to produce traffic observations for online attack detection, (3) an activation analysis to explain Lucid's DDoS classification, and (4) an empirical validation of the solution on a resource-constrained hardware platform. Using the latest datasets, Lucid matches existing state-of-the-art detection accuracy whilst presenting a 40x reduction in processing time, as compared to the state-of-the-art. With our evaluation results, we prove that the proposed approach is suitable for effective DDoS detection in resource-constrained operational environments.","1932-4537","","10.1109/TNSM.2020.2971776","European Union???s Horizon 2020 Research and Innovation Programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8984222","Distributed denial of service;deep learning;convolutional neural networks;edge computing","Computer crime;Denial-of-service attack;IP networks;Entropy;Deep learning;Feature extraction","computer network security;convolutional neural nets;learning (artificial intelligence);pattern classification;telecommunication traffic","DDoS attack detection;distributed denial of service attacks;lightweight deep learning DDoS detection system;convolutional neural networks;DDoS traffic;dataset-agnostic preprocessing mechanism;traffic observations;DDoS detection;Lucid DDoS classification","","","77","IEEE","5 Feb 2020","","","IEEE","IEEE Journals"
"Evaluation of DDOS Attack Degree Based on GRA-TOPSIS Model","H. Yang; R. Jiang; C. Zhao; A. Li",National University of Defense Technology; National University of Defense Technology; National University of Defense Technology; National University of Defense Technology,"2019 International Conference on Smart Grid and Electrical Automation (ICSGEA)","14 Nov 2019","2019","","","547","552","In this paper, we consider the deficiencies in the traditional use of the indicator system to evaluation the degree of Distributed Denial of Service (DDoS) attack, and propose an evaluation model GRA-TOPSIS. Based on the idea of integrated learning, this method combines Gray Relational Analysis (GRA) with the Technique for Order Preference by Similarity to Ideal Solution (TOPSIS). Combined with the establishing of indicator system and Combination Weighing Method, a set of evaluation methods for DDOS is constructed. The experimental results show that the GRA-TOPSIS evaluation model can be well integrated into the DDOS degree evaluation process and obtain good data results.","","978-1-7281-4463-4","10.1109/ICSGEA.2019.00129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901311","DDoS;Attack Degree Evaluation;Indicator System;Combination Weighting;GRA-TOPSIS","Smart grids;Automation","combinatorial mathematics;computer network security;fuzzy set theory;grey systems;learning (artificial intelligence);TOPSIS","integrated learning;Gray Relational Analysis;Technique for Order Preference by Similarity to Ideal Solution;indicator system;Combination Weighing Method;GRA-TOPSIS evaluation model;DDOS degree evaluation process;DDOS attack degree;Distributed Denial of Service attack","","1","21","","14 Nov 2019","","","IEEE","IEEE Conferences"
"Comparative Analysis of K-Nearest Neighbor and Decision Tree in Detecting Distributed Denial of Service","I. Ramadhan; P. Sukarno; M. A. Nugroho","Telkom University,School of Computing,Bandung,Indonesia; Telkom University,School of Computing,Bandung,Indonesia; Telkom University,School of Computing,Bandung,Indonesia","2020 8th International Conference on Information and Communication Technology (ICoICT)","13 Aug 2020","2020","","","1","4","Distributed Denial of Service (DDoS) attacks are attacks made by several attackers by flooding the victim's device with a packet. The ease of making DDoS attacks has led to an increase of these attacks in network traffic. In contrast, the method of non-machine learning Intrusion Detection System (IDS) is now seen very inaccurate. There is a need then for an IDS method with machine learning (ML) that is more accurate in detecting attacks. Several previous studies have known that the K-Nearest Neighbor (KNN) and Decision Tree (DT) algorithms are two algorithms with high accuracy in detecting DDoS attacks. However, research comparing the two algorithms is not found so far. In this study, a comparative analysis was carried out between the two algorithms. The result of this study showed that DT had a higher accuracy with an accuracy value of 99.91% than KNN which only had an accuracy value of 98.94% in detecting DDoS attacks.","","978-1-7281-6142-6","10.1109/ICoICT49345.2020.9166380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9166380","DDoS;KNN;Decision Tree","Computer crime;Decision trees;Classification algorithms;Feature extraction;Data models;Machine learning algorithms;Machine learning","computer network security;decision trees;learning (artificial intelligence)","distributed denial of service attacks;nonmachine learning Intrusion Detection System;IDS method;machine learning;K-Nearest Neighbor;Decision Tree algorithms;DDoS attacks;comparative analysis","","","10","","13 Aug 2020","","","IEEE","IEEE Conferences"
"Recent Alcatel-Lucent patents","",,"Bell Labs Technical Journal","29 Apr 2014","2014","18","4","199","230","Presents a listing of recent Alcatel-Lucent patents from July through September 2013, along with the patent number and inventor(s). ","1538-7305","","10.1002/bltj.21653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6770355","","Patents","","","","","","","29 Apr 2014","","","Nokia Bell Labs","Nokia Bell Labs Journal"
"Understanding DDoS Attacks from Mobile Devices","P. Farina; E. Cambiaso; G. Papaleo; M. Aiello","IEIIT, Genoa, Italy; IEIIT, Genoa, Italy; IEIIT, Genoa, Italy; IEIIT, Genoa, Italy","2015 3rd International Conference on Future Internet of Things and Cloud","26 Oct 2015","2015","","","614","619","The recent proliferation of smartphones and tablets leads to consider such devices as means for the execution of cyber-attacks. This scenario has rarely been considered earlier, since mobile devices always represented a target for cyber-criminals, rather than a vector to exploit. In this paper we introduce an innovative mobile bot net infrastructure, composed by mobile agents, for the execution of denial of service attacks. We prove that the chance of involving mobile bots is possible, comparing the proposed infrastructure to Low-Orbit Ion Cannon (LOIC), a well-known system in this context. Results show that in virtue of reduced resource consumption the proposed system is particularly addicted to the mobile environment. The idea of a mobile bot net is unexplored until now, therefore, the proposed system represents an important step in the mobile and cyber security field.","","978-1-4673-8103-1","10.1109/FiCloud.2015.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300876","denial of service;slow dos attack;distributed attack;botnet;smartphone;android","Computer crime;Mobile communication;Mobile handsets;Servers;Bandwidth;Memory management;Computers","computer network security;mobile agents;mobile computing","DDoS attacks;smart phones;tablets;cyber-attack execution;mobile devices;cyber-criminals;mobile botnet infrastructure;mobile agents;denial-of-service attack execution;low-orbit ion cannon;LOIC;resource consumption reduction;mobile environment;cyber-security field;mobile security field","","4","31","","26 Oct 2015","","","IEEE","IEEE Conferences"
"Web Server Protection against Application Layer DDoS Attacks Using Machine Learning and Traffic Authentication","J. D. Ndibwile; A. Govardhan; K. Okada; Y. Kadobayashi","Sch. of IT, Jawaharlal Nehru Technol. Univ., Hyderabad, India; Sch. of IT, Jawaharlal Nehru Technol. Univ., Hyderabad, India; Grad. Sch. of Inf. Sci., Nara Inst. of Sci. & Technol., Nara, Japan; Grad. Sch. of Inf. Sci., Nara Inst. of Sci. & Technol., Nara, Japan","2015 IEEE 39th Annual Computer Software and Applications Conference","24 Sep 2015","2015","3","","261","267","Application layer Distributed Denial of Service (DDoS) attacks are among the deadliest kinds of attacks that have significant impact on destination servers and networks due to their ability to be launched with minimal computational resources to cause an effect of high magnitude. Commercial and government Web servers have become the primary target of these kinds of attacks, with the recent mitigation efforts struggling to deaden the problem efficiently. Most application layer DDoS attacks can successfully mimic legitimate traffic without being detected by Intrusion Detection Systems (IDS) and Intrusion Prevention Systems (IPS). IDSs and IPSs can also mistake a normal and legitimate activity for a malicious one, producing a False Positive (FP) that affects Web users if it is ignored or dropped. False positives in a large and complex network topology can potentially be dangerous as they may cause IDS/IPS to block the user's benign traffic. Our focus and contributions in this paper are first, to mitigate the undetected malicious traffic mimicking legitimate traffic and developing a special anti-DDoS module for general and specific DDoS tools attacks by using a trained classifier in a random tree machine-learning algorithm. We use labeled datasets to generate rules to incorporate and fine-tune existing IDS/IPS such as Snort. Secondly, we further assist IDS/IPS by processing traffic that is classified as malicious by the IDS/IPS in order to identify FPs and route them to their intended destinations. To achieve this, our approach uses active authentication of traffic source of both legitimate and malicious traffic at the Bait and Decoy server respectively before destined to the Web server.","0730-3157","978-1-4673-6564-2","10.1109/COMPSAC.2015.240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7273365","DDoS Mitigation;Machine Learning;Java Script;False Positives;IDS/IPS","Web servers;Computer crime;Training;Authentication;Logic gates","computer network security;file servers;Internet;learning (artificial intelligence);pattern classification;telecommunication traffic","Web server protection;application layer DDoS attacks;traffic authentication;distributed denial of service;destination servers;minimal computational resources;government Web servers;mitigation efforts;intrusion detection systems;IDS;intrusion prevention systems;IPS;false positive;FP;Web users;trained classifier;random tree machine-learning algorithm;traffic source active authentication;bait-and-decoy server;legitimate traffic;malicious traffic","","12","13","","24 Sep 2015","","","IEEE","IEEE Conferences"
"Analysis of NTP DRDoS attacks' performance effects and mitigation techniques","B. A. Sassani; C. Abarro; I. Pitton; C. Young; F. Mehdipour","Unitec Institute of Technology, Auckland, New Zealand; Unitec Institute of Technology, Auckland, New Zealand; Unitec Institute of Technology, Auckland, New Zealand; Unitec Institute of Technology, Auckland, New Zealand; Unitec Institute of Technology, Auckland, New Zealand","2016 14th Annual Conference on Privacy, Security and Trust (PST)","24 Apr 2017","2016","","","421","427","Denial of Service (DoS) attacks are a type of interruption (malicious and/or unintended) that restrict or completely deny services meant for legitimate users. One of the most relevant DoS attacks is Distributed Denial of Service (DDoS) attack which is a variant of DoS, but on a larger scale using previously compromised, malware infected computers known as “bots” or “zombies”. DDoS attack occurs by generating large amounts of traffic towards an intended victim. This paper focuses on analyzing a variant of DDoS attacks known as Network Time Protocol (NTP) Distributed Reflective Denial of Service (DRDoS) attack. The impact of the attack will be measured in the utilization of processor, memory, network and ping of most relevant devices. Further focus is on the host and network based layered “defense in-depth” of NTP DRDoS attack mitigation techniques.","","978-1-5090-4379-8","10.1109/PST.2016.7906966","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7906966","","Computer crime;IP networks;Servers;Extraterrestrial measurements;Monitoring;Internet","computer network security;invasive software;protocols","NTP DRDoS attack performance effect analysis;NTP DRDoS attack mitigation technique;distributed Denial of Service attack;DDoS attack;malware infected computer;network time protocol distributed reflective Denial of Service attack;network based layered defense in- depth","","1","12","","24 Apr 2017","","","IEEE","IEEE Conferences"
"DDoS Attacks Detection by Using Machine Learning Methods on Online Systems","D. Başkaya; R. Samet","Ankara University,Computer Engineering Department,Ankara,Turkey; Ankara University,Computer Engineering Department,Ankara,Turkey","2020 5th International Conference on Computer Science and Engineering (UBMK)","12 Oct 2020","2020","","","52","57","DDoS attacks impose serious threats to many large or small organizations; therefore DDoS attacks have to be detected as soon as possible. In this study, a methodology to detect DDoS attacks is proposed and implemented on online systems. In the scope of the proposed methodology, Multi Layer Perceptron (MLP), Random Forest (RF), K-Nearest Neighbor (KNN), C-Support Vector Machine (SVC) machine learning methods are used with scaling and feature reduction preprocessing methods and then effects of preprocesses on detection accuracy rates of HTTP (Hypertext Transfer Protocol) flood, TCP SYN (Transport Control Protocol Synchronize) flood, UDP (User Datagram Protocol) flood and ICMP (Internet Control Message Protocol) flood DDoS attacks are analyzed. Obtained results showed that DDoS attacks can be detected with high accuracy of 99.2%.","","978-1-7281-7565-2","10.1109/UBMK50275.2020.9219476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9219476","Cyber Security;Machine Learning;Cyber Attacks;Distributed Denial of Service Attacks;DDoS","Global Positioning System;Handheld computers;Denial-of-service attack;Hafnium compounds;Computer crime;Intrusion detection;Topology","","","","","19","","12 Oct 2020","","","IEEE","IEEE Conferences"
